heng,shu,index
1.0,0.67173004,995
0.97279686,0.67497504,990
0.9490869,0.68183225,985
0.8976868,0.6941606,980
0.88082904,0.6871529,975
0.8569452,0.69436085,970
0.8234935,0.71018237,965
0.7993443,0.73643965,960
0.78657687,0.74938524,955
0.77644855,0.775903,950
0.7733791,0.81667763,945
0.7766698,0.8398163,940
0.75581914,0.85308653,935
0.700162,0.86736906,930
0.68489736,0.8584763,925
0.6634126,0.848416,920
0.63644797,0.82462144,915
0.63597226,0.80506635,910
0.63335323,0.7782085,905
0.62142205,0.76059353,900
0.6193903,0.7303376,895
0.6247488,0.7046458,890
0.58951277,0.68739384,885
0.591653,0.67586297,880
0.9419788,0.51746565,875
0.93517625,0.5223557,870
0.89487094,0.5385776,865
0.88102925,0.54546934,860
0.8276457,0.5597196,855
0.8150049,0.5716734,850
0.77483505,0.5582394,845
0.7335171,0.56183016,840
0.7145897,0.57359505,835
0.6951542,0.5861671,830
0.69417286,0.5875538,825
0.6359544,0.59183156,820
0.63669896,0.588571,815
0.6084285,0.45722413,810
0.62612677,0.4574784,805
0.6549902,0.42924044,800
0.6650144,0.42719585,795
0.6854749,0.43179286,790
0.7625707,0.4279553,785
0.78054386,0.42164955,780
0.79074115,0.3870675,775
0.794514,0.3901325,770
0.8334446,0.4128707,765
0.8496331,0.4153204,760
0.8664161,0.40075818,755
0.88204366,0.38717106,750
0.8920164,0.37712914,745
0.8041203,0.2618117,740
0.80526173,0.24045937,735
0.8057046,0.23478566,730
0.79620135,0.20026754,725
0.78860354,0.19365643,720
0.78114086,0.17286874,715
0.7806152,0.17659098,710
0.7689517,0.1554716,705
0.75980216,0.09680131,700
0.7383491,0.104807414,695
0.73592347,0.09738888,690
0.75117964,0.06743866,685
0.76648134,0.071260415,680
0.5016839,0.58991337,675
0.49800307,0.60859764,670
0.5222634,0.5491393,665
0.5121273,0.5508317,660
0.4938399,0.565404,655
0.4492456,0.5568239,650
0.41974577,0.5072082,645
0.42945126,0.5151479,640
0.4295113,0.53180975,635
0.37550867,0.48937494,630
0.4090706,0.4342185,625
0.39586934,0.41508842,620
0.3798176,0.4341809,615
0.38332817,0.43641242,610
0.42786416,0.39161906,605
0.42188498,0.4110749,600
0.4800313,0.39160022,595
0.48492035,0.38268098,590
0.46549588,0.35646453,585
0.4602804,0.34535328,580
0.49806356,0.34724453,575
0.5150659,0.34202164,570
0.5296483,0.32131526,565
0.5687815,0.29152447,560
0.5712299,0.28723544,555
0.580292,0.24979663,550
0.5620084,0.2184761,545
0.577031,0.23465253,540
0.565828,0.20129192,535
0.58543444,0.21575613,530
0.51548684,0.15821463,525
0.54228437,0.1690682,520
0.55243534,0.12451839,515
0.57353556,0.1418298,510
0.5480437,0.092187956,505
0.54768807,0.07617571,500
0.50753695,0.022328483,495
0.5073735,0.027268039,490
0.4674204,0.007370642,485
0.4647859,0.07096838,480
0.43876994,0.02188852,475
0.43794984,0.056918148,470
0.46494207,0.0,465
0.34256873,0.051182613,460
0.33687568,0.051736355,455
0.4053731,0.02386047,450
0.38888365,0.06902373,445
0.3466546,0.16548844,440
0.32967135,0.100200176,435
0.29079485,0.13814478,430
0.3222532,0.15254614,425
0.33234066,0.19914344,420
0.2648569,0.15528865,415
0.26605618,0.14778002,410
0.28293458,0.1871938,405
0.30127507,0.2315417,400
0.2443939,0.24743366,395
0.2335495,0.21907413,390
0.2237958,0.2179334,385
0.2060137,0.20317319,380
0.23278403,0.2702708,375
0.2983333,0.26003686,370
0.22365922,0.3177932,365
0.2733886,0.30049196,360
0.17985389,0.36461088,355
0.15655112,0.33762825,350
0.12657632,0.33182284,345
0.19302727,0.33515877,340
0.18159872,0.38938817,335
0.17127444,0.379401,330
0.10775061,0.3325462,325
0.0793736,0.3772782,320
0.055703785,0.37149233,315
0.02764523,0.3871146,310
0.063392155,0.438632,305
0.05542338,0.43258184,300
0.0,0.45099118,295
0.080610715,0.4644678,290
0.07276666,0.43767112,285
0.01731881,0.47720158,280
0.119172744,0.5306186,275
0.12899138,0.54127854,270
0.09609409,0.5768015,265
0.07011167,0.55242926,260
0.06088409,0.56748,255
0.08001748,0.63221645,250
0.121413164,0.6585286,245
0.06016463,0.5959221,240
0.047883477,0.59427327,235
0.078510076,0.67963856,230
0.2412191,0.6154695,225
0.16402064,0.66128224,220
0.16773479,0.6606884,215
0.1196216,0.7066068,210
0.28718314,0.62874067,205
0.26765272,0.61793315,200
0.22749047,0.6561608,195
0.23533359,0.6709929,190
0.2569031,0.68534636,185
0.2669781,0.666206,180
0.30516818,0.6501614,175
0.30298993,0.68146425,170
0.36477658,0.67146224,165
0.3759621,0.68097305,160
0.35684034,0.7110854,155
0.3959756,0.7458989,150
0.4145337,0.7232264,145
0.32926285,0.7904787,140
0.28486383,0.82506216,135
0.2688951,0.81075895,130
0.29549533,0.811107,125
0.32618102,0.8553722,120
0.4076727,0.79994655,115
0.27240995,0.85283643,110
0.32593372,0.6379636,105
0.35500172,0.8654453,100
0.4185403,0.8032106,95
0.4377015,0.8333081,90
0.32727772,0.95131874,85
0.34527346,0.93838984,80
0.505032,0.83137053,75
0.42593765,0.936393,70
0.40691707,0.9491956,65
0.46399486,0.9792697,60
0.41426978,1.0,55
0.48106605,0.81135124,50
0.46581507,0.8275027,45
0.47163227,0.99734026,40
0.44791898,0.99454045,35
0.45691347,0.90804785,30
0.49740487,0.8707851,25
0.48855504,0.95087105,20
0.5183733,0.9511163,15
0.48957992,0.7941714,10
0.41244566,0.9905294,5
0.5133954,0.8644353,0
